Addr_Comm,2017,2018,2019,2020,2021,2022
PHƯỜNG BÀ TRIỆU,9,5,4,3,5,8
BÌNH HÒA,7,4,4,8,7,3
BÌNH MINH,11,15,5,8,5,5
BẠCH LONG,5,4,2,4,5,3
CỘNG HÒA,7,4,3,4,3,4
PHƯỜNG CỬA BẮC,10,11,8,7,15,9
PHƯỜNG CỬA NAM,6,12,8,7,8,11
GIAO AN,6,4,7,5,2,6
GIAO CHÂU,8,6,7,4,6,6
GIAO HÀ,8,8,8,10,5,8
GIAO HƯƠNG,2,0,4,6,1,3
GIAO HẢI,5,3,5,3,3,2
GIAO LONG,3,4,2,1,2,2
GIAO LẠC,13,10,8,6,5,11
GIAO NHÂN,2,6,4,4,3,1
GIAO PHONG,13,3,9,7,2,5
GIAO THANH,7,3,2,10,7,6
GIAO THIỆN,6,4,6,4,3,3
GIAO THỊNH,8,4,10,4,3,3
GIAO TIẾN,9,9,18,7,10,8
GIAO TÂN,6,3,4,1,4,2
GIAO XUÂN,4,3,3,6,3,2
GIAO YẾN,6,6,4,7,4,3
HIỂN KHÁNH,6,3,2,4,4,5
HOÀNG NAM,12,7,6,14,11,11
HOÀNH SƠN,10,2,8,2,7,6
PHƯỜNG HẠ LONG,18,13,14,14,5,12
HẢI AN,14,12,10,5,8,10
HẢI ANH,12,9,9,16,7,5
HẢI BẮC,3,4,2,8,6,4
HẢI CHÂU,3,2,10,1,5,1
HẢI CHÍNH,7,6,6,3,6,5
HẢI CƯỜNG,8,6,3,11,3,7
HẢI GIANG,2,5,4,2,4,0
HẢI HÀ,5,12,9,4,7,4
HẢI HÒA,9,8,3,7,3,6
HẢI HƯNG,11,7,12,8,5,5
HẢI LONG,9,8,12,10,3,5
HẢI LÝ,7,12,5,7,3,4
HẢI LỘC,3,9,2,6,3,1
HẢI MINH,13,22,23,14,6,16
HẢI NAM,13,11,12,10,4,6
HẢI NINH,5,5,5,3,1,3
HẢI PHONG,2,8,9,4,3,2
HẢI PHÚ,15,9,12,7,5,4
HẢI PHÚC,4,10,2,3,5,4
HẢI PHƯƠNG,8,14,12,6,6,7
HẢI QUANG,8,4,4,8,3,6
HẢI SƠN,4,7,8,3,4,5
HẢI THANH,5,4,10,7,7,9
HẢI TRIỀU,2,3,2,2,2,3
HẢI TRUNG,12,7,17,15,5,8
HẢI TÂN,9,4,5,8,5,2
HẢI TÂY,6,7,2,5,1,2
HẢI VÂN,3,6,5,9,5,4
