OBJECTID,Addr_Comm,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
4,THỊ TRẤN LÂM,22,8,13,18,13,24,14,7,10,11
5,XÃ NAM VÂN,3,3,4,6,8,6,3,3,1,3
7,THỊ TRẤN MỸ LỘC,5,3,3,1,4,5,2,3,2,3
8,XÃ MỸ HÀ,7,3,5,5,7,4,3,1,7,4
9,XÃ MỸ TIẾN,9,3,1,5,4,4,0,3,3,3
12,XÃ MỸ TÂN,7,5,7,14,11,11,12,10,7,8
13,XÃ MỸ PHÚC,13,8,6,8,7,4,3,7,5,6
14,XÃ MỸ HƯNG,7,6,2,6,8,6,2,2,4,5
15,XÃ MỸ THUẬN,4,9,2,0,2,5,3,5,3,2
16,XÃ MỸ THỊNH,3,7,6,3,3,1,3,0,2,3
17,XÃ MỸ THÀNH,2,5,2,3,3,2,2,5,1,5
18,THỊ TRẤN GÔI,6,4,6,5,7,6,5,4,1,6
19,XÃ MINH THUẬN,8,6,13,10,8,3,15,4,6,4
20,XÃ HIỂN KHÁNH,5,9,3,8,6,3,2,4,4,5
21,XÃ TÂN KHÁNH,5,6,8,3,10,6,6,6,4,2
22,XÃ HỢP HƯNG,1,8,6,4,4,15,7,4,3,6
23,XÃ ĐẠI AN,5,6,12,9,9,4,10,6,5,5
25,XÃ CỘNG HÒA,9,4,9,5,7,4,3,4,3,4
26,XÃ TRUNG THÀNH,4,9,6,7,10,3,12,2,4,1
27,XÃ QUANG TRUNG,0,0,0,0,2,7,6,6,3,3
28,XÃ MINH TÂN,4,9,4,6,5,4,2,6,5,5
29,XÃ LIÊN BẢO,12,14,8,8,11,9,11,9,6,8
30,XÃ THÀNH LỢI,12,11,9,12,14,12,10,12,2,15
31,XÃ KIM THÁI,10,4,9,7,6,4,8,4,5,5
32,XÃ LIÊN MINH,10,8,4,11,6,5,6,5,8,6
33,XÃ ĐẠI THẮNG,13,6,7,5,8,7,6,7,4,3
34,XÃ TAM THANH,8,3,4,10,6,7,5,4,2,3
35,XÃ VĨNH HÀO,4,4,3,6,4,3,7,6,6,1
