OBJECTID,2013,2014,2015,2016
4,22,8,13,18
5,3,3,4,6
7,5,3,3,1
8,7,3,5,5
9,9,3,1,5
12,7,5,7,14
13,13,8,6,8
14,7,6,2,6
15,4,9,2,0
16,3,7,6,3
17,2,5,2,3
18,6,4,6,5
19,8,6,13,10
20,5,9,3,8
21,5,6,8,3
22,1,8,6,4
23,5,6,12,9
25,9,4,9,5
26,4,9,6,7
27,0,0,0,0
28,4,9,4,6
29,12,14,8,8
30,12,11,9,12
31,10,4,9,7
32,10,8,4,11
33,13,6,7,5
34,8,3,4,10
35,4,4,3,6
36,6,0,4,6
37,2,3,5,0
38,4,3,8,7
39,11,4,8,7
40,5,7,8,12
41,2,4,7,10
42,2,5,11,6
43,4,9,2,2
44,11,10,7,13
45,8,5,5,9
46,6,5,9,14
47,15,5,9,11
48,10,6,7,2
50,4,5,4,5
51,5,7,9,4
52,5,6,8,10
53,13,10,15,10
54,10,8,7,8
55,5,3,11,12
56,4,2,7,4
57,10,8,6,8
58,9,8,7,16
59,7,5,7,2
60,8,5,8,9
61,4,11,9,8
62,7,6,3,11
63,9,14,14,13
64,4,7,7,5
65,8,18,19,17
66,13,13,15,9
67,7,8,10,5
68,3,4,4,4
69,3,5,0,6
71,7,11,6,5
72,3,5,1,8
73,7,8,11,7
74,17,12,13,6
75,8,3,7,13
76,5,4,9,10
77,10,15,15,12
78,7,8,12,8
79,7,4,4,9
80,3,4,1,12
81,2,12,5,7
82,1,0,4,0
83,4,0,4,3
84,3,5,6,4
85,7,6,12,2
86,2,4,6,5
87,7,5,3,7
88,6,4,4,6
89,8,3,4,2
90,3,10,6,5
92,3,3,9,4
93,11,8,7,7
95,5,9,7,3
96,6,9,10,8
99,13,9,15,10
100,6,9,7,8
101,12,12,12,10
102,6,6,6,2
103,7,7,7,11
104,7,6,4,4
105,9,5,11,12
106,6,6,8,6
107,4,6,4,3
108,4,8,3,5
109,10,19,9,11
110,10,11,4,9
111,4,2,5,2
112,10,9,8,4
113,13,18,7,10
114,13,14,19,13
115,8,7,20,26
116,3,8,6,8
117,7,11,9,18
118,13,7,10,12
119,3,8,4,2
120,14,9,12,4
121,6,6,4,5
122,1,1,5,3
123,4,5,2,1
124,3,5,6,7
125,4,5,2,2
126,4,3,5,4
127,3,3,5,4
128,9,9,14,13
129,4,6,2,5
130,3,8,4,6
131,6,10,11,10
132,7,7,7,6
133,6,5,7,6
134,4,8,5,8
135,7,10,8,6
136,13,11,6,11
137,5,5,4,5
138,2,4,5,7
139,7,11,9,11
140,9,7,11,11
141,2,4,7,4
142,0,5,4,2
143,5,3,5,6
144,3,7,2,5
145,6,5,5,5
146,21,17,13,11
147,11,7,9,11
148,4,4,4,6
149,2,7,11,14
150,3,1,1,5
151,6,5,6,8
152,10,6,15,9
153,5,6,7,3
154,3,4,3,6
155,6,3,8,3
156,13,8,12,16
158,6,5,7,4
159,6,7,8,7
160,13,6,8,5
161,11,8,9,8
162,4,4,2,8
165,9,6,9,13
166,6,8,7,8
167,6,2,5,4
168,8,2,4,1
169,4,5,5,4
170,7,4,5,2
171,1,3,4,6
172,3,5,3,3
173,2,2,5,7
174,7,5,6,4
175,6,7,5,10
176,9,6,10,11
177,7,4,9,10
178,7,11,8,8
179,5,2,8,5
180,15,19,14,12
181,20,21,16,20
182,12,10,8,9
183,8,5,10,9
184,17,9,7,9
185,10,10,7,6
186,3,2,3,5
187,13,9,4,11
188,6,2,6,4
189,17,13,13,6
190,3,8,3,6
191,6,4,5,8
192,2,3,4,8
193,2,6,6,14
194,4,2,5,2
195,9,2,5,5
196,8,6,8,2
198,6,5,5,1
199,7,6,6,8
200,0,0,0,0
201,7,4,3,15
202,6,5,4,5
203,5,7,9,6
204,11,4,3,3
205,3,4,5,1
206,9,4,3,3
207,3,4,4,6
208,0,4,2,2
209,2,4,2,4
211,2,3,4,1
212,3,3,6,7
213,6,4,5,4
214,2,1,7,6
219,7,11,11,7
220,8,15,7,6
221,5,5,8,4
222,4,3,5,4
223,19,11,6,7
224,9,12,11,13
225,2,4,6,3
226,4,3,4,3
227,3,8,15,9
228,7,3,5,10
229,5,9,7,4
230,11,9,7,8
231,6,6,7,9
232,14,8,8,3
233,6,8,7,9
234,8,5,7,3
235,7,5,3,6
236,4,7,8,7
237,6,15,15,9
238,5,3,9,6
239,2,4,10,6
240,3,6,3,5
241,7,9,10,8
242,6,2,10,5
245,5,4,3,7
246,6,5,1,8
254,3,3,1,4
256,1,4,3,3
257,7,11,5,5
260,1,4,2,1
