diaDanh,2015,2016,2017,2018,2019,2020,2021
Phường  Hạ Long,1.593701997,1.576013838,1.325255585,1.246174027,1.032286405,0.833698991,0.590551181
Phường Trần Tế Xương,2.007183604,2.112999541,1.820664543,1.892403352,1.802786124,1.442569407,0.835354352
Phường Vị Hoàng,2.610050643,2.236890356,2.261123268,2.4012006,1.882951654,1.630988787,1.680672269
Phường Vị Xuyên,0.859106529,0.835421888,0.605393506,0.650017106,0.642857143,0.606276748,0.74204947
Phường Quang Trung,2.171290712,1.88172043,1.78476292,2.173112339,2.204408818,1.401682018,1.466508125
Phường Cửa Bắc,1.888375997,1.741867786,1.684341859,1.739995029,1.574606348,1.424287856,1.332675222
Phường Nguyễn Du,3.480714958,3.163686382,3.438914027,4.272997033,4.134860051,2.599873177,2.556109726
Phường Bà Triệu,2.656894182,2.389540126,2.223210316,2.521489971,2.56916996,1.906640368,1.920614597
Phường Trường Thi,2.246441281,2.11174659,1.945003353,2.072800809,1.672167217,1.481958763,1.444350042
Phường Phan Đình Phùng,2.538461538,2.344931921,2.169775409,2.75862069,2.644964395,1.727642276,1.746506986
Phường Ngô Quyền,3.104477612,3.062426384,2.735739232,2.635327635,2.46555475,1.520637219,1.29776496
Phường Trần Hưng Đạo,2.117263844,2.048726467,2.170283806,2.160702228,2.247956403,1.912568306,1.962110961
Phường Đăng Ninh,3.090156101,2.7332705,2.728983689,2.897415818,2.365930599,1.809598741,1.612284069
Phường Năng Tĩnh,1.929181929,1.678015564,1.568532819,1.841680129,1.785134697,1.232565683,1.085221832
Phường Văn Miếu,2.079494604,1.857736495,1.697792869,1.84457212,1.647848642,1.373626374,1.266586248
Phường Trần Quang Khải,1.304049417,1.290322581,1.232511659,1.247248716,1.03626943,0.853432282,0.909090909
Phường Thống Nhất,1.82223875,1.687289089,1.41925585,1.372369625,1.065801668,0.600184672,0.490633363
Phường Lộc Hạ,1.412803532,1.412579957,1.346982759,1.025512756,0.95911156,0.856423174,0.663390663
Phường Lộc Vượng,1.326790258,1.275045537,1.264431006,1.236390478,1.205713226,1.110083256,0.98630137
Phường Cửa Nam,2.261420172,1.696469509,1.420064132,1.563372418,1.493394601,1.433486239,1.386577926
Phường Lộc Hoà,2.635190777,2.782378271,2.384020619,1.972909305,1.801535735,1.416765053,1.1969222
Phường Mỹ Xá,2.59965338,1.77496038,1.69544741,1.501501502,1.465076661,1.254810105,1.26203919
Xã Nam Phong,4.649330181,3.335674157,2.689486553,2.690937871,2.503027856,1.916167665,2.249806051
Xã Lộc An,2.084972463,2.059688945,1.945364238,1.612284069,1.53609831,1.156961049,1.097653293
Xã Nam Vân,2.81124498,2.561623973,2.585410896,2.179276316,2.218355807,1.851851852,1.838696197
Thị trấn Mỹ Lộc,3.489932886,2.664890073,2.247191011,1.640419948,1.497395833,1.291155584,1.314142678
Xã Mỹ Hà,3.025279735,2.722772277,2.381930185,1.920719248,1.8300122,1.739482201,1.730239874
Xã Mỹ Tiến,3.178639542,2.784810127,2.709514808,2.572145546,2.559300874,2.423865755,2.777777778
Xã Mỹ Thắng,2.272727273,1.847662142,1.576576577,1.494209936,1.301115242,1.368343195,1.148188016
Xã Mỹ Trung,2.58186398,2.131661442,2.183406114,1.801242236,1.73053152,1.538461538,1.374775852
Xã Mỹ Tân,2.200120555,2.040816327,2.031063321,1.664684899,1.538461538,1.294879341,1.484865791
Xã Mỹ Phúc,1.503759398,1.455301455,1.448076127,1.359143328,1.393442623,1.305589555,1.584158416
Xã Mỹ Hưng,2.272727273,1.885902876,1.830126701,1.588042971,1.533457249,1.386321627,1.256168686
Xã Mỹ Thuận,3.093812375,1.887729757,1.78041543,1.279527559,1.175318315,1.120311739,0.898345154
Xã Mỹ Thịnh,2.775510204,2.274573517,2.021018593,1.52979066,1.442307692,1.354581673,1.083591331
Xã Mỹ Thành,3.571428571,2.571860817,2.182091798,1.348314607,1.043997017,0.964391691,0.864553314
Thị trấn Gôi,4.641775984,3.165829146,3.607214429,3.243243243,2.056807052,1.602719767,1.501642421
Xã Minh Thuận,7.330677291,3.253968254,3.252677509,2.134387352,1.221915648,0.550530869,0.535577659
Xã Hiển Khánh,6.361655773,3.436276642,3.376623377,2.419006479,1.293661061,0.602668963,0.628667225
Xã Tân Khánh,5.421363392,3.079416532,3.028664143,1.908396947,1.409214092,0.594916171,0.632577754
Xã Hợp Hưng,5.291005291,2.970822281,2.863202545,2.146596859,1.616266945,1.246105919,1.307847082
Xã Đại An,5.57261957,3.938730853,2.405949256,1.520417029,1.252158895,0.688172043,0.6244796
Xã Tân Thành,6.082548878,3.599712023,3.165467626,2.19858156,1.26493324,0.418118467,0.33557047
Xã Cộng Hòa,5.044136192,3.270440252,3.015075377,2.017654477,1.326595073,1.008827238,0.988264361
Xã Trung Thành,4.827968923,4.092920354,3.585217871,3.003823048,1.89701897,1.504567437,1.344364012
Xã Quang Trung,6.232914161,3.675675676,3.502155172,3.251599147,2.178533475,1.746956061,1.604554865
Xã Minh Tân,7.739463602,3.511450382,3.264996203,2.548725637,1.715137957,1.633259094,1.591895803
Xã Liên Bảo,5.398058252,3.695060288,3.807303807,3.118983442,1.611047181,1.415996938,1.392547986
Xã Thành Lợi,5.401629802,3.093023256,2.741635688,2.059708401,1.382807098,0.73630925,0.714924039
Xã Kim Thái,7.172675522,4.127224536,3.972758229,3.153153153,1.717058604,1.113999257,1.039426523
Xã Liên Minh,6.459854015,3.529839884,3.127272727,2.528901734,1.042040963,0.966010733,0.832177531
Xã Đại Thắng,6.644067797,2.978003384,2.737411288,2.084033613,1.668891856,0.965058236,0.867330549
Xã Tam Thanh,6.327543424,5.686032138,3.637484587,2.518427518,1.712538226,0.85313833,0.940070505
Xã Vĩnh Hào,5.586592179,4.953560372,3.96039604,2.978723404,1.937046005,1.508750754,1.476668636
Thị trấn Lâm,4.42317641,4.046391753,3.641025641,2.02891791,1.510223048,0.620404412,0.933302982
Xã Yên Trung,4.162102957,3.921568627,3.586956522,2.332657201,1.788451712,0.86690464,3.436078828
Xã Yên Thành,4.395604396,4.01459854,3.266787659,1.407211961,0.764006791,0.252312868,0.083333333
Xã Yên Tân,5.561993048,5.19630485,4.994259472,3.912800447,1.331114809,0.497237569,2.244116037
Xã Yên Lợi,6.361031519,4.39748715,3.461975028,2.942840973,2.232142857,1.225626741,2.373068433
Xã Yên Thọ,4.373757455,4.255319149,4,3.273040482,2.883762201,1.371074746,1.796669588
Xã Yên Nghĩa,5.973864343,5.145691259,4.13325108,1.768172888,1.049180328,0.522534291,0.517799353
Xã Yên Minh,8.919382504,6.638297872,5.93220339,3.964098728,2.941176471,1.535087719,3.041274439
Xã Yên Phương,4.915155061,3.492433062,2.895193978,2.083333333,1.366742597,0.682205799,2.873239437
Xã Yên Chính,5.978784957,3.306181121,3.344481605,2.29775012,1.437470053,0.809909481,2.265219443
Xã Yên Bình,5.090311987,4.039167687,3.588907015,2.914798206,1.85770751,1.06257379,2.651072125
Xã Yên Phú,6.727099237,4.96923805,3.502129673,1.855943438,1.226456417,0.478885503,3.019844694
Xã Yên Mỹ,3.915275995,3.509891512,3.303684879,2.276707531,1.564310545,0.692041522,3.257142857
Xã Yên Dương,6.717557252,5.991657186,4.659090909,3.974813066,2.611367127,1.41980046,4.676806084
Xã Yên Hưng,6.50109569,5.959302326,4.335260116,2.361005331,1.576576577,0.748502994,3.338278932
Xã Yên Khánh,5.490196078,5.133203379,4.333764554,3.220140515,2.223489168,1.022727273,1.407657658
Xã Yên Phong,5.976757056,4.895489549,3.72194855,2.566788895,2.047082907,1.329243354,1.317122594
Xã Yên Ninh,6.444525815,5.98758671,4.820587169,2.897327707,2.020769015,1.030927835,1.766979569
Xã Yên Lương,11.94117647,8.84592853,6.658946149,3.804627249,2.74611399,1.342281879,6.342710997
Xã Yên Hồng,5.356055995,5.330102968,5.342136855,3.601440576,2.17765043,1.257861635,4.135977337
Xã Yên Quang,11.62444113,6.008902077,5.003679176,3.282994091,2.21642764,1.164294955,3.525641026
Xã Yên Tiến,5.483490566,4.95455878,4.257801108,2.020474138,1.279658758,0.663481953,1.709176966
Xã Yên Thắng,7.42081448,5.480277025,4.134212103,3.218680972,2.493842365,1.198524892,2.984165652
Xã Yên Phúc,6.215469613,4.122766835,2.961275626,2.301444043,1.891040072,1.077199282,2.178746109
Xã Yên Cường,10.25113215,9.146841674,5.8101473,3.011152416,1.542983101,1.026392962,5.375953505
Xã Yên Lộc,9.736842105,6.015693112,5.913043478,4.516129032,3.75,2.61208577,3.630745462
Xã Yên Bằng,8.413369189,5.785440613,2.662609357,1.904114247,1.255514082,0.573742828,1.805416249
Xã Yên Đồng,6.129328838,4.123396457,3.202195791,2.512424075,1.726500411,0.927694407,2.081643687
Xã Yên Khang,5.399195864,4.233409611,3.754266212,2.760905577,2.005571031,1.165371809,5.167674546
Xã Yên Nhân,6.301279947,4.811783961,3.683181226,3.384947785,2.6039783,1.189189189,4.534094966
Xã Yên Trị,8.64830237,7.336523126,3.929024081,2.798982188,2.219692658,1.274787535,2.66629245
Thị trấn Liễu Đề,5.831826401,1.748878924,1.352569883,0.86324398,0.68119891,0.453720508,0.357621815
Thị trấn Rạng Đông,8.006993007,2.508710801,2.48023005,1.8826937,1.516833148,0.51736881,0.386779184
Thị trấn Quỹ Nhất,6.139882541,3.183023873,3.493191237,2.182890855,1.590214067,0.980392157,3.115638107
Xã Nghĩa Đồng,8.464566929,3.685503686,3.662109375,2.222222222,2.014388489,1.389554384,0.951927653
Xã Nghĩa Thịnh,6.482808023,4.426737494,3.90070922,2.237591538,1.704545455,0.972841508,1.515755884
Xã Nghĩa Minh,6.628056628,2.122186495,3.089533417,1.172839506,1.215611004,1.217948718,1.070528967
Xã Hoàng Nam,8.05116629,2.90237467,3.222180592,1.919385797,1.739466564,1.11969112,1.221840397
Xã Nghĩa Châu,7.808471455,3.864556496,3.964925658,2.194357367,1.683633516,0.586624951,0.583657588
Xã Nghĩa Thái,3.743119266,2.017608217,1.962209302,1.026185421,0.795372379,0.253256151,0.251708019
Xã Nghĩa Trung,7.015503876,1.70212766,1.728110599,1.343283582,0.750469043,0.112443778,0.51736881
Xã Nghĩa Sơn,6.771073238,2.575896964,2.378774016,1.445729537,1.145879242,0.352267723,0.585810371
Xã Nghĩa Lạc,7.065823726,1.861504095,2.013677812,0.872865275,0.610687023,0.114591291,0.151630023
Xã Nghĩa Hồng,7.113745832,6.738245094,2.852908485,2.084831057,1.367398345,0.503054258,0.784313725
Xã Nghĩa Phong,6.052631579,2.629272568,2.388189318,1.393581081,1.345102984,0.631313131,0.657084189
Xã Nghĩa Phú,8.406923349,2.71796682,2.574186629,1.976137211,1.55775076,0.570559148,1.387326584
Xã Nghĩa Tân ,7.891770011,3.16027088,3.293583191,2.204176334,1.685066822,0.814426992,2.472685451
Xã Nghĩa Bình,6.024096386,1.443174985,1.559454191,0.867823765,0.754458162,0.136798906,0.597609562
Xã Nghĩa Thành,8.504273504,2.053036784,2.321083172,1.398601399,0.911392405,0.304414003,2.956167176
Xã Nghĩa Lâm,8.564920273,2.957233849,2.769953052,2.058823529,1.273560876,1.12244898,1.715438951
