Addr_Comm,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Phường  Hạ Long,15568,15761,15948,14830,14760,14689,14615,14598,14653,15010
Phường Bà Triệu,6597,6755,6899,5009,4939,4857,4791,4779,4761,4987
Phường Cửa Bắc,14205,14360,14501,12970,12900,12829,12733,12727,12717,12925
Phường Cửa Nam,6123,6158,6188,6010,5940,5735,5739,5719,5722,5970
Phường Lộc Hạ,14138,13940,13742,12949,12849,12865,12827,12782,12845,13244
Phường Lộc Hòa,9261,9074,9270,11260,11444,11654,11810,11799,11845,12146
Phường Lộc Vượng,13409,12280,11584,17336,17266,17224,17164,17098,17148,17596
Phường Mỹ Xá,8549,8580,8719,19371,19626,19915,20142,21011,18053,18134
Phường Năng Tĩnh,11878,11978,12069,10113,10043,9958,9871,9854,9830,10072
Phường Ngô Quyền,5048,5079,5107,4378,4308,4229,4210,4212,4197,4392
Phường Nguyễn Du,6428,6440,6455,5043,4973,4899,4843,4834,4810,5012
Phường Phan Đình Phùng,7728,7816,7888,6517,6447,6387,6370,6371,6359,6567
Phường Quang Trung,10212,10479,10737,8424,8353,8262,8230,8228,8218,8330
Phường Thống Nhất,7855,7897,7940,7175,7105,7125,7102,7089,7080,7349
Phường Trần Đăng Ninh,9405,9493,9576,7920,7850,7787,7688,7675,7670,7835
Phường Trần Hưng Đạo,5662,5766,5867,4897,4827,4760,4659,4638,4626,4837
Phường Trần Quang Khải,8602,8739,8851,9385,9315,9262,9133,9127,9180,9497
Phường Trần Tế Xương,13255,13351,13443,12030,11960,11890,11729,11702,11694,11933
Phường Trường Thi,14318,14415,14647,13211,13141,13105,13034,12081,15161,16147
Phường Văn Miếu,11374,11498,11566,10983,10939,10851,10778,10761,10725,10926
Phường Vị Hoàng,7368,7401,7435,6453,6383,6292,6238,6232,6210,6311
Phường Vị Xuyên,10152,10400,10593,9040,8970,8886,8793,8770,8762,8841
Thị trấn Cát Thành,13778,13797,13820,13645,13702,13689,13531,13660,13960,14604
Thị trấn Cổ Lễ,10402,10417,10437,10619,10662,10775,11062,11051,11137,11558
Thị trấn Cồn,6563,6661,6677,6743,6755,6780,6815,6821,6701,6805
Thị trấn Gôi,6707,6843,6972,6980,7068,7158,7248,7342,7341,7761
Thị trấn Lâm,16358,16507,16786,13758,13966,14215,14397,14589,14580,15542
Thị trấn Liễu Đề,6258,6323,6382,6825,6927,7032,7106,7125,7133,7282
Thị trấn Mỹ Lộc,4859,4957,5089,4905,4943,4981,5019,5058,5059,5411
Thị trấn Nam Giang,17390,17496,17646,17527,17603,17680,17756,17835,17935,18296
Thị trấn Ngô Đồng,5609,5807,5812,5632,5753,5873,5935,6293,6367,6507
Thị trấn Ninh Cường,7920,7931,7948,8022,8039,8050,7915,7906,7920,8421
Thị trấn Quất Lâm,9043,9243,9248,9408,9372,9337,9362,9096,9172,9018
Thị trấn Quỹ Nhất,6102,6152,6206,5733,5424,5383,5370,5368,5392,5702
Thị trấn Rạng Đông,8321,8380,8392,8333,8652,8704,8762,8874,8893,9226
Thị trấn Thịnh Long,14276,14216,14259,13066,13113,13196,13263,13249,13074,13324
Thị trấn Xuân Trường,7807,7895,7959,8132,8234,8337,8441,8549,8183,8195
Thị trấn Yên Định,4847,5008,5011,5103,5173,5196,5226,5374,5488,5859
Xã Bạch Long,7573,7115,7120,6555,6402,6402,6251,6346,6360,6563
Xã Bình Hòa,7647,7741,7743,7129,7086,7054,6897,7058,7015,7238
Xã Bình Minh,10527,10552,10575,10110,10053,9998,9942,9026,8992,9024
Xã Cộng Hòa,5125,5137,5141,5136,5140,5140,5119,5124,5043,5187
Xã Đại An,7650,7665,7673,7658,7666,7663,7631,7638,7416,7628
Xã Đại Thắng,8980,8989,9001,8987,8999,9014,9035,9043,9559,9792
Xã Điền Xá,12027,12061,12086,11568,11503,11439,11376,12113,11972,12002
Xã Đồng Sơn,13929,13971,13985,13464,13389,13314,13241,10274,10461,10947
Xã Giao An,9059,9048,9053,8335,8283,7969,7933,8681,8524,8789
Xã Giao Châu,7725,7772,7776,7161,7156,7128,7126,7093,7102,7302
Xã Giao Hà,9177,8455,8460,7404,6741,6493,6343,7385,7373,7606
Xã Giao Hải,6160,6151,6156,5670,5515,5562,5493,5930,5963,6263
Xã Giao Hương,7342,7439,7445,6858,6868,6791,6678,5591,5605,5787
Xã Giao Lạc,9560,9645,9650,8889,8869,8635,8775,8297,8326,8626
Xã Giao Long,7608,7635,7640,7044,6853,6780,6643,6771,6777,6977
Xã Giao Nhân,7339,7374,7379,6798,6817,6725,6811,6854,6873,7173
Xã Giao Phong,6939,6983,6989,6436,6256,6228,6128,6612,6625,6835
Xã Giao Tân,6702,6851,6856,6311,6150,6035,5871,5397,5406,5583
Xã Giao Thanh,6143,6236,6241,5769,5654,5544,5543,5344,5370,5546
Xã Giao Thiện,9624,9681,9685,8914,8938,8820,8856,8142,7894,7904
Xã Giao Thịnh,10525,10586,10595,9753,9605,9579,9465,9255,9284,9643
Xã Giao Tiến,15902,16026,16025,14660,14605,14269,13330,11640,11647,12147
Xã Giao Xuân,9298,9368,9373,8634,8566,8497,8400,8072,8096,8396
Xã Giao Yến,7973,7960,7963,7331,7297,7284,7086,7482,7473,7773
Xã Hải An,8641,8651,8676,8699,8710,8769,8790,9084,9055,9488
Xã Hải Anh,11634,11648,11682,11725,11747,11772,11862,12637,12659,12939
Xã Hải Bắc,5619,5626,5642,5660,5670,5638,5721,5730,5784,6189
Xã Hải Châu,6062,6068,6086,6102,6155,6187,6208,5794,5805,6135
Xã Hải Chính,4962,4968,4982,4995,4998,5042,5053,5142,5143,5357
Xã Hải Cường,6013,6019,6037,6052,6046,6101,6116,5998,6041,6212
Xã Hải Đông,7479,7487,7509,7528,6742,6789,6805,7193,7228,7394
Xã Hải Đường,11233,11245,11278,11301,11259,11303,11432,11750,11604,11739
Xã Hải Giang,5238,5244,5259,5273,4881,4923,4935,4498,4522,4839
Xã Hải Hà,5507,5513,5529,5543,5553,5561,5614,5744,5778,5941
Xã Hải Hoà,7874,7883,7906,7915,7952,8004,8022,8056,8062,8278
Xã Hải Hưng,9852,9866,9892,9917,9153,9184,9207,9733,9715,9982
Xã Hải Lộc,6845,6852,6872,6889,6743,6802,6819,6233,5905,6070
Xã Hải Long,6539,6547,6566,6583,6595,6638,6654,6929,7003,7558
Xã Hải Lý,9491,9505,9530,9542,9560,9629,9653,9613,9615,9801
Xã Hải Minh,14610,14618,14661,16595,17696,16891,16554,16895,17034,17175
Xã Hải Nam,8133,8142,8166,8187,8204,8222,8243,7479,7432,7619
Xã Hải Ninh,6035,6041,6059,6075,6187,6299,6315,6212,6232,6405
Xã Hải Phong,6354,6361,6380,6396,6402,6460,6476,6257,6184,6576
Xã Hải Phú,8217,8226,8250,8270,8531,8602,8623,8425,8603,8874
Xã Hải Phúc,5622,5629,5645,5661,5671,5684,5719,5681,5638,5811
Xã Hải Phương,6432,6440,6459,6475,7227,7272,7290,7082,7385,7527
Xã Hải Quang,6181,6188,6206,6222,6234,6275,6290,6472,6248,6332
Xã Hải Sơn,8230,8239,8263,8284,8080,8115,8135,7524,7503,7654
Xã Hải Tân,6081,6087,6105,6121,6133,6174,6189,6116,6195,6378
Xã Hải Tây,5869,5876,5893,5908,5918,5968,5982,6192,6131,6273
Xã Hải Thanh,5675,5681,5698,5713,5723,5743,5773,6131,6122,6295
Xã Hải Triều,4745,4750,4764,4777,4790,4832,4844,5216,5068,5250
Xã Hải Trung,10806,10819,10850,10843,10947,11014,11042,11101,10976,11159
Xã Hải Vân,8484,8493,8518,8545,9061,9127,9149,9216,9215,9379
Xã Hải Xuân,7587,7596,7618,7637,7357,7407,7425,7394,7331,7486
Xã Hiển Khánh,7689,7702,7709,7692,7691,7690,7698,7705,7248,7454
Xã Hoàng Nam,7840,7845,7853,7859,7864,7871,7883,7887,7882,8016
Xã Hoành Sơn,7930,8011,8140,7495,7451,7286,7356,7870,7880,8127
Xã Hồng Quang,13480,13541,13571,12999,12927,12855,12786,11944,11926,12366
Xã Hồng Thuận,14561,14582,14587,13487,13393,13338,13388,12587,12611,12711
Xã Hợp Hưng,6030,6042,6048,6042,6047,6047,6058,6064,6242,6429
Xã Kim Thái,8554,8559,8567,8547,8551,8551,8579,8587,9216,9482
Xã Liêm Hải,6082,6090,6101,10913,10951,10948,10958,11120,11077,11286
Xã Liên Bảo,9828,9840,9838,9799,9783,9791,9814,9823,8930,9185
Xã Liên Minh,8783,8790,8798,8785,8781,8796,8820,8827,9820,10115
Xã Lộc An,6567,6744,7051,8285,8403,8467,8528,8526,8503,8620
Xã Minh Tân,4432,4441,4443,4433,4436,4434,4420,4425,4679,4807
Xã Minh Thuận,8334,8348,8359,8319,8306,8305,8308,8315,7080,7282
Xã Mỹ Hà,7428,7438,7452,7554,7589,7624,7659,7697,7698,7876
Xã Mỹ Hưng,6267,6276,6289,6510,6540,6570,6600,6633,6634,6817
Xã Mỹ Phúc,7430,7441,7456,8197,8235,8273,8311,8352,8353,8579
Xã Mỹ Tân,10399,10413,10431,10954,11003,11055,11106,11161,11163,11472
Xã Mỹ Thắng,7932,7943,7958,8275,8313,8351,8391,8431,8432,8662
Xã Mỹ Thành,4245,4250,4259,4160,4179,4199,4218,4239,4240,4358
Xã Mỹ Thịnh,4016,4021,4030,4049,4068,4087,4106,4126,4127,4241
Xã Mỹ Thuận,6877,6886,6899,6176,6204,6232,6261,6292,6293,6467
Xã Mỹ Tiến,5049,5056,5068,5127,5151,5174,5198,5224,5225,5370
