Addr_Comm,YEAR,POP,POOR
Phường  Hạ Long,2012,15568,2.38
Phường Trần Tế Xương,2012,13255,2.32
Phường Vị Hoàng,2012,7368,2.29
Phường Vị Xuyên,2012,10152,1.59
Phường Quang Trung,2012,10212,1.91
Phường Cửa Bắc,2012,14205,2.11
Phường Nguyễn Du,2012,6428,2.24
Phường Bà Triệu,2012,6597,2.11
Phường Trường Thi,2012,14318,2.26
Phường Phan Đình Phùng,2012,7728,2.03
Phường Ngô Quyền,2012,5048,3.03
Phường Trần Hưng Đạo,2012,5662,1.78
Phường Đăng Ninh,2012,9405,2.37
Phường Năng Tĩnh,2012,11878,2.02
Phường Văn Miếu,2012,11374,2.24
Phường Trần Quang Khải,2012,8602,1.99
Phường Thống Nhất,2012,7855,2.38
Phường Lộc Hạ,2012,14138,2.08
Phường Lộc Vượng,2012,13409,1.66
Phường Cửa Nam,2012,6123,2.18
Phường Lộc Hoà,2012,9261,2.81
Phường Mỹ Xá,2012,8549,2.35
Xã Nam Phong,2012,15714,2.96
Xã Lộc An,2012,6567,2.27
Xã Nam Vân,2012,6432,2.44
Thị trấn Mỹ Lộc,2012,4859,3.09
Xã Mỹ Hà,2012,7428,2.44
Xã Mỹ Tiến,2012,5049,1.8
Xã Mỹ Thắng,2012,7932,2.11
Xã Mỹ Trung,2012,4984,2.49
Xã Mỹ Tân,2012,10399,2.23
Xã Mỹ Phúc,2012,7430,1.58
Xã Mỹ Hưng,2012,6267,2.13
Xã Mỹ Thuận,2012,6877,2.82
Xã Mỹ Thịnh,2012,4016,2.5
Xã Mỹ Thành,2012,4245,3.32
Thị trấn Gôi,2012,6707,3.64
Xã Minh Thuận,2012,8334,5.39
Xã Hiển Khánh,2012,7689,5.32
Xã Tân Khánh,2012,5808,4.63
Xã Hợp Hưng,2012,6030,3.89
Xã Đại An,2012,7650,4.97
Xã Tân Thành,2012,4660,5.05
Xã Cộng Hòa,2012,5125,4.24
Xã Trung Thành,2012,5545,4.26
Xã Quang Trung,2012,5928,4.14
Xã Minh Tân,2012,4432,4.97
Xã Liên Bảo,2012,9828,4.45
Xã Thành Lợi,2012,15585,4.53
Xã Kim Thái,2012,8554,5.52
Xã Liên Minh,2012,8783,5.2
Xã Đại Thắng,2012,8980,4.69
Xã Tam Thanh,2012,5128,5.74
Xã Vĩnh Hào,2012,5272,4.79
Thị trấn Lâm,2012,16358,4.28
Xã Yên Trung,2012,5719,3.17
Xã Yên Thành,2012,3255,4.72
Xã Yên Tân,2012,5444,4.77
Xã Yên Lợi,2012,5607,4.48
Xã Yên Thọ,2012,6693,3.52
Xã Yên Nghĩa,2012,4721,5.59
Xã Yên Minh,2012,4063,6.14
Xã Yên Phương,2012,5684,3.43
Xã Yên Chính,2012,6775,4.22
Xã Yên Bình,2012,7384,3.73
Xã Yên Phú,2012,6788,4.64
Xã Yên Mỹ,2012,5564,2.74
Xã Yên Dương,2012,8178,3.93
Xã Yên Hưng,2012,4185,4.82
Xã Yên Khánh,2012,5087,4.69
Xã Yên Phong,2012,6094,4.8
Xã Yên Ninh,2012,10465,5.59
Xã Yên Lương,2012,6654,6.65
Xã Yên Hồng,2012,5688,3.7
Xã Yên Quang,2012,4409,6.77
Xã Yên Tiến,2012,11803,4.95
Xã Yên Thắng,2012,10972,5.03
Xã Yên Phúc,2012,7512,4.33
Xã Yên Cường,2012,9181,6.5
Xã Yên Lộc,2012,9882,5.52
Xã Yên Bằng,2012,8646,6.3
Xã Yên Đồng,2012,11250,4.34
Xã Yên Khang,2012,5562,3.01
Xã Yên Nhân,2012,9726,3.45
Xã Yên Trị,2012,11552,6.27
Thị trấn Liễu Đề,2012,6258,4.45
Thị trấn Rạng Đông,2012,8321,5.47
Thị trấn Quỹ Nhất,2012,6102,3.83
Xã Nghĩa Đồng,2012,5588,5.62
Xã Nghĩa Thịnh,2012,7403,4.91
Xã Nghĩa Minh,2012,4798,4.37
Xã Hoàng Nam,2012,7840,5.23
Xã Nghĩa Châu,2012,7583,6.12
Xã Nghĩa Thái,2012,8397,3.8
Xã Nghĩa Trung,2012,8205,4.9
Xã Nghĩa Sơn,2012,13862,5.11
Xã Nghĩa Lạc,2012,8885,5.27
Xã Nghĩa Hồng,2012,7803,6.44
Xã Nghĩa Phong,2012,7705,4.74
Xã Nghĩa Phú,2012,7825,5.41
Xã Nghĩa Tân ,2012,5206,4.69
